"town","buffer","question","metric","sen_slope_per_decade","qcat","p_upper","p_lower","p_two","baseline_mean","early_mean","late_mean","delta_late_minus_early"
"Bovill","10mibuffer","Q2","firesummerhighdays_bi90",0,"Q4",0.4905,0.5095,0.981,4.46666666666667,0,6,6
"Bovill","10mibuffer","Q2","firesummerhighdays_erc90",0,"Q4",0.4905,0.5095,0.981,2.1,0,2.3,2.3
"Bovill","none","Q2","firesummerhighdays_bi90",0,"Q4",0.4905,0.5095,0.981,2.8,0,3.1,3.1
"Bovill","none","Q2","firesummerhighdays_erc90",0,"Q4",0.4905,0.5095,0.981,0.766666666666667,0,0,0
"Deary","10mibuffer","Q2","firesummerhighdays_bi90",0,"Q4",0.4945,0.5055,0.989,6.2,0,9.3,9.3
"Deary","10mibuffer","Q2","firesummerhighdays_erc90",0,"Q4",0.495,0.505,0.99,4.43333333333333,0,6.3,6.3
"Deary","none","Q2","firesummerhighdays_bi90",0,"Q4",0.498,0.502,0.996,7.06666666666667,0,10.9,10.9
"Deary","none","Q2","firesummerhighdays_erc90",0,"Q4",0.494,0.506,0.988,5.43333333333333,0,9.3,9.3
"ElkRiver","10mibuffer","Q2","firesummerhighdays_bi90",1.48148148148148,"Q5",0.304,0.696,0.608,7.4,0.4,12.5,12.1
"ElkRiver","10mibuffer","Q2","firesummerhighdays_erc90",0,"Q4",0.498,0.502,0.996,7.8,0.2,14.6,14.4
"ElkRiver","none","Q2","firesummerhighdays_bi90",0.882352941176471,"Q5",0.3745,0.6255,0.749,6.96666666666667,0.2,10.8,10.6
"ElkRiver","none","Q2","firesummerhighdays_erc90",0,"Q4",0.4955,0.5045,0.991,6.46666666666667,0,11.8,11.8
"Juliaetta","10mibuffer","Q2","firesummerhighdays_bi90",3.2258064516129,"Q6",0.2075,0.7925,0.415,14.4,4.3,21.2,16.9
"Juliaetta","10mibuffer","Q2","firesummerhighdays_erc90",4,"Q6",0.238,0.762,0.476,16.6,2.6,26.6,24
"Juliaetta","none","Q2","firesummerhighdays_bi90",4.28571428571429,"Q6",0.1735,0.8265,0.347,17.1333333333333,5.2,25.9,20.7
"Juliaetta","none","Q2","firesummerhighdays_erc90",5,"Q6",0.217,0.783,0.434,19.8333333333333,4.1,31.9,27.8
"Kendrick","10mibuffer","Q2","firesummerhighdays_bi90",2.4,"Q6",0.248,0.752,0.496,12.1,2.7,17.2,14.5
"Kendrick","10mibuffer","Q2","firesummerhighdays_erc90",2.10526315789474,"Q5",0.3495,0.6505,0.699,13.8333333333333,1.4,22.5,21.1
"Kendrick","none","Q2","firesummerhighdays_bi90",2.72727272727273,"Q6",0.2395,0.7605,0.479,13.4666666666667,3.2,20.2,17
"Kendrick","none","Q2","firesummerhighdays_erc90",2.5,"Q5",0.335,0.665,0.67,14.7333333333333,1.5,24.5,23
