"town","buffer","question","metric","sen_slope_per_decade","qcat","p_upper","p_lower","p_two","baseline_mean","early_mean","late_mean","delta_late_minus_early"
"Bovill","10mibuffer","Q3","firep95_erc",4.14730026732017,"Q7",0.1005,0.8995,0.201,57.4714908868241,51.5013171888744,60.5530314517237,9.05171426284931
"Bovill","10mibuffer","Q3","firepeak_bi",3.47702740271299,"Q7",0.114,0.886,0.228,55.8022819221453,50.4814272836361,57.3944018678753,6.91297458423917
"Bovill","10mibuffer","Q3","firepeak_erc",4.70011811554101,"Q7",0.133,0.867,0.266,65.8237454011374,59.9737499866504,67.3273314105206,7.35358142387014
"Bovill","10mibuffer","Q3","fireseverity_bi90",3.43730650612192,"Q5",0.338,0.662,0.676,59.1016826517539,9.03087099046457,66.5509838830549,57.5201128925903
"Bovill","10mibuffer","Q3","fireseverity_erc90",0,"Q4",0.4905,0.5095,0.981,26.9608185994293,5.05914200625346,31.8091249849478,26.7499829786943
"Bovill","none","Q3","firep95_erc",3.90093268621537,"Q7",0.0865,0.9135,0.173,53.9901247969733,49.1087855860392,55.7876666666667,6.67888108062744
"Bovill","none","Q3","firepeak_bi",3.39260326287685,"Q6",0.1735,0.8265,0.347,52.8956609047784,48.2572537231445,53.4733333333333,5.21607961018879
"Bovill","none","Q3","firepeak_erc",4.62874959309895,"Q6",0.174,0.826,0.348,62.3948314921061,57.5538167444865,62.4966666666667,4.9428499221802
"Bovill","none","Q3","fireseverity_bi90",1.36887942788444,"Q5",0.4095,0.5905,0.819,51.4249048489157,10.3850285368433,55.2510912912859,44.8660627544426
"Bovill","none","Q3","fireseverity_erc90",0,"Q4",0.4905,0.5095,0.981,21.2792090081474,4.07307019311712,25.6586437853925,21.5855735922754
"Deary","10mibuffer","Q3","firep95_erc",4.82601982650263,"Q7",0.074,0.926,0.148,60.8378443519159,53.6878483444967,65.2478621330384,11.5600137885417
"Deary","10mibuffer","Q3","firepeak_bi",4.08187277694847,"Q7",0.0875,0.9125,0.175,58.028160562311,51.6976864531093,60.3385212903226,8.64083483721335
"Deary","10mibuffer","Q3","firepeak_erc",5.29799824860909,"Q7",0.116,0.884,0.232,69.6812344746809,62.7160724060256,72.4349006451613,9.71882823913574
"Deary","10mibuffer","Q3","fireseverity_bi90",8.62725540439223,"Q5",0.4035,0.5965,0.807,98.1905100089256,15.8636736005576,138.214236778791,122.350563178233
"Deary","10mibuffer","Q3","fireseverity_erc90",6.86394602903669,"Q5",0.408,0.592,0.816,72.8130867431199,11.1658057023424,114.789494379617,103.623688677275
"Deary","none","Q3","firep95_erc",4.85668044244091,"Q7",0.0725,0.9275,0.145,61.1021447819125,53.441638231216,65.9144838709678,12.4728456397518
"Deary","none","Q3","firepeak_bi",4.22428500267768,"Q7",0.092,0.908,0.184,58.7781996409098,51.7386276195895,61.3483870967742,9.60975947718467
"Deary","none","Q3","firepeak_erc",5.30295970767786,"Q7",0.107,0.893,0.214,70.0772139026273,62.5585797783637,73.2348387096774,10.6762589313138
"Deary","none","Q3","fireseverity_bi90",11.1021240780373,"Q5",0.387,0.613,0.774,101.562850037352,14.007734270752,157.362862331215,143.355128060463
"Deary","none","Q3","fireseverity_erc90",9.43460159961588,"Q5",0.4015,0.5985,0.803,78.7129504401315,7.03176434697548,138.897536834582,131.865772487607
