"town","buffer","question","metric","sen_slope_per_decade","qcat","p_upper","p_lower","p_two","baseline_mean","early_mean","late_mean","delta_late_minus_early"
"Bovill","10mibuffer","Q1","firehighdays_bi90",1.72413793103448,"Q6",0.1935,0.8065,0.387,19.3666666666667,5.7,23.8,18.1
"Bovill","10mibuffer","Q1","firehighdays_bi95",0,"Q4",0.4905,0.5095,0.981,6.6,1.2,7.3,6.1
"Bovill","10mibuffer","Q1","firehighdays_erc90",0,"Q4",0.4905,0.5095,0.981,8.43333333333333,2.2,11.2,9
"Bovill","10mibuffer","Q1","firehighdays_erc95",0,"Q4",0.4905,0.5095,0.981,1.63333333333333,0.2,1.7,1.5
"Bovill","none","Q1","firehighdays_bi90",0.833333333333333,"Q5",0.314,0.686,0.628,18.6,6.1,22.6,16.5
"Bovill","none","Q1","firehighdays_bi95",0,"Q4",0.4905,0.5095,0.981,6.03333333333333,1,7.1,6.1
"Bovill","none","Q1","firehighdays_erc90",0,"Q4",0.4905,0.5095,0.981,6.73333333333333,1.9,8.1,6.2
"Bovill","none","Q1","firehighdays_erc95",0,"Q4",0.4905,0.5095,0.981,2.26666666666667,0.2,3.4,3.2
"Deary","10mibuffer","Q1","firehighdays_bi90",2.94117647058824,"Q5",0.3595,0.6405,0.719,26.5,7.5,37.5,30
"Deary","10mibuffer","Q1","firehighdays_bi95",1.17647058823529,"Q6",0.2205,0.7795,0.441,11.3,2.1,14.9,12.8
"Deary","10mibuffer","Q1","firehighdays_erc90",4,"Q6",0.277,0.723,0.554,19.1666666666667,3.8,30.4,26.6
"Deary","10mibuffer","Q1","firehighdays_erc95",0,"Q4",0.4905,0.5095,0.981,6.1,0.6,9.5,8.9
"Deary","none","Q1","firehighdays_bi90",4.24242424242424,"Q5",0.2985,0.7015,0.597,25.6666666666667,5.6,39.6,34
"Deary","none","Q1","firehighdays_bi95",1.11111111111111,"Q5",0.4075,0.5925,0.815,12.2,1.8,18,16.2
"Deary","none","Q1","firehighdays_erc90",4.28571428571429,"Q5",0.291,0.709,0.582,18.7333333333333,2.5,34.1,31.6
"Deary","none","Q1","firehighdays_erc95",0,"Q4",0.4965,0.5035,0.993,7.53333333333333,0.5,14.1,13.6
"ElkRiver","10mibuffer","Q1","firehighdays_bi90",5,"Q6",0.226,0.774,0.452,25.9,8.3,38.3,30
"ElkRiver","10mibuffer","Q1","firehighdays_bi95",1.73913043478261,"Q5",0.335,0.665,0.67,11.5333333333333,1.8,17.5,15.7
"ElkRiver","10mibuffer","Q1","firehighdays_erc90",5.40540540540541,"Q6",0.25,0.75,0.5,25.1,7.6,42.8,35.2
"ElkRiver","10mibuffer","Q1","firehighdays_erc95",1.66666666666667,"Q5",0.3485,0.6515,0.697,10.8333333333333,2.2,18.6,16.4
"ElkRiver","none","Q1","firehighdays_bi90",2.66666666666667,"Q5",0.344,0.656,0.688,22.8,6.6,33.5,26.9
"ElkRiver","none","Q1","firehighdays_bi95",0.909090909090909,"Q6",0.2225,0.7775,0.445,10.3,1.8,15.2,13.4
"ElkRiver","none","Q1","firehighdays_erc90",3.33333333333333,"Q5",0.3325,0.6675,0.665,19.7666666666667,3.3,35,31.7
"ElkRiver","none","Q1","firehighdays_erc95",0.625,"Q5",0.303,0.697,0.606,7.63333333333333,0.9,13.2,12.3
"Juliaetta","10mibuffer","Q1","firehighdays_bi90",6,"Q5",0.3025,0.6975,0.605,56,29.3,71.4,42.1
"Juliaetta","10mibuffer","Q1","firehighdays_bi95",1.25,"Q5",0.3045,0.6955,0.609,30.1333333333333,12.6,37.3,24.7
"Juliaetta","10mibuffer","Q1","firehighdays_erc90",8.4375,"Q7",0.0485,0.9515,0.097,66.9666666666667,30.2,90.7,60.5
"Juliaetta","10mibuffer","Q1","firehighdays_erc95",4.16666666666667,"Q7",0.1375,0.8625,0.275,36.8,15.8,50.8,35
"Juliaetta","none","Q1","firehighdays_bi90",6.75675675675676,"Q5",0.331,0.669,0.662,65.3333333333333,35.2,80.5,45.3
"Juliaetta","none","Q1","firehighdays_bi95",2.4,"Q6",0.2085,0.7915,0.417,37.2333333333333,16.7,45.7,29
"Juliaetta","none","Q1","firehighdays_erc90",9.14285714285714,"Q7",0.046,0.954,0.092,78.2,36.4,101.4,65
"Juliaetta","none","Q1","firehighdays_erc95",4.5,"Q6",0.1455,0.8545,0.291,43.5333333333333,20.1,57.5,37.4
"Kendrick","10mibuffer","Q1","firehighdays_bi90",4.83870967741935,"Q5",0.321,0.679,0.642,48.1,23.2,63,39.8
"Kendrick","10mibuffer","Q1","firehighdays_bi95",1.42857142857143,"Q6",0.2835,0.7165,0.567,25.3,8.9,32.8,23.9
"Kendrick","10mibuffer","Q1","firehighdays_erc90",7.83783783783784,"Q7",0.045,0.955,0.09,55.6,24.1,77.9,53.8
"Kendrick","10mibuffer","Q1","firehighdays_erc95",4.81481481481481,"Q7",0.074,0.926,0.148,29.1666666666667,10.5,43.5,33
"Kendrick","none","Q1","firehighdays_bi90",6,"Q7",0.0485,0.9515,0.097,57,28.4,74.1,45.7
"Kendrick","none","Q1","firehighdays_bi95",1.48148148148148,"Q5",0.2975,0.7025,0.595,32,12.2,41.3,29.1
"Kendrick","none","Q1","firehighdays_erc90",7.77777777777778,"Q7",0.076,0.924,0.152,66.5666666666667,26.2,95.3,69.1
"Kendrick","none","Q1","firehighdays_erc95",3.46153846153846,"Q6",0.1955,0.8045,0.391,37.1333333333333,13.9,53.6,39.7
