town,buffer,wateryear,metric,value
Bovill,10mibuffer,2025,annualanomprecip,-224.33759362080258
Bovill,10mibuffer,1980,annualanompwd,135.86170891833666
Bovill,10mibuffer,1981,annualanompwd,68.75655906989229
Bovill,10mibuffer,1982,annualanompwd,271.54358220989104
Bovill,10mibuffer,1983,annualanompwd,272.4535248895026
Bovill,10mibuffer,1984,annualanompwd,204.19782508072296
Bovill,10mibuffer,1985,annualanompwd,101.34391025898363
Bovill,10mibuffer,1986,annualanompwd,79.8394570463332
Bovill,10mibuffer,1987,annualanompwd,-166.11865582373778
Bovill,10mibuffer,1988,annualanompwd,-163.89795452649693
Bovill,10mibuffer,1989,annualanompwd,136.39617596908442
Bovill,10mibuffer,1990,annualanompwd,167.5422722751415
Bovill,10mibuffer,1991,annualanompwd,193.24120006763388
Bovill,10mibuffer,1992,annualanompwd,-66.20861889691233
Bovill,10mibuffer,1993,annualanompwd,127.7631966568593
Bovill,10mibuffer,1994,annualanompwd,-325.36599767169656
Bovill,10mibuffer,1995,annualanompwd,310.2331736874983
Bovill,10mibuffer,1996,annualanompwd,437.0686653375413
Bovill,10mibuffer,1997,annualanompwd,581.4810076731532
Bovill,10mibuffer,1998,annualanompwd,38.567221093757304
Bovill,10mibuffer,1999,annualanompwd,200.44023170339898
Bovill,10mibuffer,2000,annualanompwd,170.15433187435855
Bovill,10mibuffer,2001,annualanompwd,-213.13090218792433
Bovill,10mibuffer,2002,annualanompwd,220.377369262179
Bovill,10mibuffer,2003,annualanompwd,-39.37199684413767
Bovill,10mibuffer,2004,annualanompwd,154.63166593222343
Bovill,10mibuffer,2005,annualanompwd,-139.60574228404664
Bovill,10mibuffer,2006,annualanompwd,20.418657212245662
Bovill,10mibuffer,2007,annualanompwd,-106.02297276390323
Bovill,10mibuffer,2008,annualanompwd,118.31246929410443
Bovill,10mibuffer,2009,annualanompwd,-44.07123929153903
Bovill,10mibuffer,2010,annualanompwd,-175.23858298075288
Bovill,10mibuffer,2011,annualanompwd,259.3523197387891
Bovill,10mibuffer,2012,annualanompwd,64.28577409186762
Bovill,10mibuffer,2013,annualanompwd,-13.953675430196926
Bovill,10mibuffer,2014,annualanompwd,-78.54718325014046
Bovill,10mibuffer,2015,annualanompwd,-316.42143053094696
Bovill,10mibuffer,2016,annualanompwd,-57.147737152314534
Bovill,10mibuffer,2017,annualanompwd,140.99785516580238
Bovill,10mibuffer,2018,annualanompwd,34.21847031969458
Bovill,10mibuffer,2019,annualanompwd,-43.085551943486024
Bovill,10mibuffer,2020,annualanompwd,-143.6836195826437
Bovill,10mibuffer,2021,annualanompwd,-315.4904148618633
Bovill,10mibuffer,2022,annualanompwd,44.42687678999267
Bovill,10mibuffer,2023,annualanompwd,-223.50266563321668
Bovill,10mibuffer,2024,annualanompwd,-233.25293646564373
Bovill,10mibuffer,2025,annualanompwd,-342.20626428635217
Bovill,10mibuffer,1980,annualeto,875.2597688710174
Bovill,10mibuffer,1981,annualeto,917.9829720160919
Bovill,10mibuffer,1982,annualeto,881.2332907890697
Bovill,10mibuffer,1983,annualeto,866.3172121031619
Bovill,10mibuffer,1984,annualeto,883.4085955672595
Bovill,10mibuffer,1985,annualeto,914.7370271706164
Bovill,10mibuffer,1986,annualeto,899.1751476319415
Bovill,10mibuffer,1987,annualeto,957.7669746137634
Bovill,10mibuffer,1988,annualeto,985.7223255320114
Bovill,10mibuffer,1989,annualeto,906.141373009706
Bovill,10mibuffer,1990,annualeto,901.218532345627
