town,buffer,n_bg_overlap,pop_est_in_buffer,median_income,poverty_pct,bachelors_pct,age65_pct
Bovill,10mibuffer,5,1272.2283484836078,72455.18925498115,9.160522663060917,24.886615042726927,23.538453631586357
Deary,10mibuffer,6,3287.7825270697285,75192.82393306341,5.791644442594553,28.344407402020607,24.409632916644732
ElkRiver,10mibuffer,4,308.89581245645917,61791.49651725534,18.1278885727012,33.08903727386925,36.27915089478863
Juliaetta,10mibuffer,11,3968.1825162465825,70151.44534125148,11.248168657813865,27.524069122758604,24.894249724434314
Kendrick,10mibuffer,15,3586.708295116231,72491.51869231316,9.650119255468256,28.381826223510746,25.04219897465197
