.town,stressor,n_questions,mean_pdi,mean_instr_delta_raw,mean_climate_delta_z,buffer,n_bg_overlap,pop_est_in_buffer,median_income,poverty_pct,bachelors_pct,age65_pct
Bovill,Drought,5,-0.03894915909258356,-32.27096305289842,0.05431667662611029,10mibuffer,5,1272.2283484836078,72455.18925498115,9.160522663060917,24.886615042726927,23.538453631586357
Bovill,Fire,5,0.16672831195385984,-3.288036720804317,-0.11231182282449959,10mibuffer,5,1272.2283484836078,72455.18925498115,9.160522663060917,24.886615042726927,23.538453631586357
Bovill,Heat,6,-0.09213829880500654,7.405063088091218,0.13160950920203213,10mibuffer,5,1272.2283484836078,72455.18925498115,9.160522663060917,24.886615042726927,23.538453631586357
Deary,Drought,5,0.07262724720590022,-35.03398051295469,-0.10404659190395325,10mibuffer,6,3287.7825270697285,75192.82393306341,5.791644442594553,28.344407402020607,24.409632916644732
Deary,Fire,5,-0.22133011343533604,7.264440625983765,0.137799921260501,10mibuffer,6,3287.7825270697285,75192.82393306341,5.791644442594553,28.344407402020607,24.409632916644732
Deary,Heat,6,-0.23790031460382075,6.04263026953416,0.2415215217515318,10mibuffer,6,3287.7825270697285,75192.82393306341,5.791644442594553,28.344407402020607,24.409632916644732
ElkRiver,Drought,5,-0.10187566922666372,-43.51936494883439,-0.11956473741864561,10mibuffer,4,308.89581245645917,61791.49651725534,18.1278885727012,33.08903727386925,36.27915089478863
ElkRiver,Fire,5,-0.5177742515482425,7.541396142897075,0.15486014553989533,10mibuffer,4,308.89581245645917,61791.49651725534,18.1278885727012,33.08903727386925,36.27915089478863
ElkRiver,Heat,6,-0.12116332337231034,5.137839886620466,0.16919069411434992,10mibuffer,4,308.89581245645917,61791.49651725534,18.1278885727012,33.08903727386925,36.27915089478863
Juliaetta,Drought,5,-0.021156576703633287,-15.739706208619067,0.06403433804259201,10mibuffer,11,3968.1825162465825,70151.44534125148,11.248168657813865,27.524069122758604,24.894249724434314
Juliaetta,Fire,5,0.245363847359558,-2.0166734462778604,-0.08313098653004235,10mibuffer,11,3968.1825162465825,70151.44534125148,11.248168657813865,27.524069122758604,24.894249724434314
Juliaetta,Heat,6,0.19471240642384535,2.296765277745587,-0.21800500327299455,10mibuffer,11,3968.1825162465825,70151.44534125148,11.248168657813865,27.524069122758604,24.894249724434314
Kendrick,Drought,5,-0.05945629298300025,-18.61173355614907,0.0797161875844239,10mibuffer,15,3586.708295116231,72491.51869231316,9.650119255468256,28.381826223510746,25.04219897465197
Kendrick,Fire,5,0.13906498645377913,-1.3709158213352655,-0.07921667989305886,10mibuffer,15,3586.708295116231,72491.51869231316,9.650119255468256,28.381826223510746,25.04219897465197
Kendrick,Heat,6,0.18327878019382712,2.2618818222370307,-0.19132523284258035,10mibuffer,15,3586.708295116231,72491.51869231316,9.650119255468256,28.381826223510746,25.04219897465197
