"system.index","Name","Shape_Area","Shape_Leng","precip","tavg","tmax","tmin",".geo"
"19510209_00000000000000000000","Deary",3414097.91084,9686.26783674,14.75,3.7421875,7.3203125,0.1484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510210_00000000000000000000","Deary",3414097.91084,9686.26783674,4.890625,6.2109375,10.3984375,2.03125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510211_00000000000000000000","Deary",3414097.91084,9686.26783674,11.0390625,5.1484375,9.2265625,1.0625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510212_00000000000000000000","Deary",3414097.91084,9686.26783674,4.6796875,0.0234375,4.421875,-4.3828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510213_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-2.609375,4,-9.21875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510214_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-0.9765625,5.046875,-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510215_00000000000000000000","Deary",3414097.91084,9686.26783674,0,1.28125,7.3203125,-4.7734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510216_00000000000000000000","Deary",3414097.91084,9686.26783674,2.03125,0.1484375,5.609375,-5.3203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510217_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-1.3671875,4.0234375,-6.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510218_00000000000000000000","Deary",3414097.91084,9686.26783674,3.109375,0.6171875,4.953125,-3.7109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510219_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-1.359375,3.7109375,-6.4296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510220_00000000000000000000","Deary",3414097.91084,9686.26783674,1.328125,0.8125,4.921875,-3.2890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510221_00000000000000000000","Deary",3414097.91084,9686.26783674,0,0,5.796875,-5.7890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510222_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-0.578125,5.8125,-6.96875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510223_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-0.921875,6.0625,-7.890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510224_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-0.7578125,5.390625,-6.8984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510225_00000000000000000000","Deary",3414097.91084,9686.26783674,1.8125,-0.8515625,3.046875,-4.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510226_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-4.703125,2.109375,-11.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510227_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-5.171875,2.609375,-12.9375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510228_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-4.15625,3.359375,-11.671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510301_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-3.3515625,2.6484375,-9.3515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510302_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-1.640625,4.5234375,-7.796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510303_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-4.328125,0.65625,-9.328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510304_00000000000000000000","Deary",3414097.91084,9686.26783674,9.640625,-2.8828125,-0.28125,-5.4765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510305_00000000000000000000","Deary",3414097.91084,9686.26783674,2.4296875,-3.140625,1.75,-8.03125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510306_00000000000000000000","Deary",3414097.91084,9686.26783674,3.90625,-4.9609375,-1.828125,-8.078125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510307_00000000000000000000","Deary",3414097.91084,9686.26783674,1.890625,-3.9765625,0.890625,-8.8515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510308_00000000000000000000","Deary",3414097.91084,9686.26783674,0.46875,-4.6875,1.359375,-10.7421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510309_00000000000000000000","Deary",3414097.91084,9686.26783674,4.609375,-1.3203125,2.5625,-5.2109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510310_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-4.84375,0.3828125,-10.0703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510311_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-4.0390625,2.3671875,-10.453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510312_00000000000000000000","Deary",3414097.91084,9686.26783674,0.7734375,-0.0234375,4.5078125,-4.5625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510313_00000000000000000000","Deary",3414097.91084,9686.26783674,4.4765625,2.1015625,4.359375,-0.15625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510314_00000000000000000000","Deary",3414097.91084,9686.26783674,0,0.890625,5.0625,-3.2734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510315_00000000000000000000","Deary",3414097.91084,9686.26783674,4.0078125,2.0703125,5.8828125,-1.7421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510316_00000000000000000000","Deary",3414097.91084,9686.26783674,6.6484375,1.140625,5.890625,-3.6015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510317_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-1.796875,2.7265625,-6.34375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510318_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-1.2265625,6.6171875,-9.0703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510319_00000000000000000000","Deary",3414097.91084,9686.26783674,0,1.5390625,9.421875,-6.3515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510320_00000000000000000000","Deary",3414097.91084,9686.26783674,0,3.65625,12.359375,-5.03125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510321_00000000000000000000","Deary",3414097.91084,9686.26783674,0,4.6875,12.3984375,-3.03125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510322_00000000000000000000","Deary",3414097.91084,9686.26783674,1.671875,1.2734375,6.359375,-3.8203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510323_00000000000000000000","Deary",3414097.91084,9686.26783674,0,0.921875,6.96875,-5.1328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510324_00000000000000000000","Deary",3414097.91084,9686.26783674,0,2.90625,10.8125,-4.9921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510325_00000000000000000000","Deary",3414097.91084,9686.26783674,0,5.75,13.28125,-1.7734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510326_00000000000000000000","Deary",3414097.91084,9686.26783674,0,6.4765625,13.3125,-0.3515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510327_00000000000000000000","Deary",3414097.91084,9686.26783674,0,3.7734375,9.5,-1.96875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510328_00000000000000000000","Deary",3414097.91084,9686.26783674,0,1.828125,10.078125,-6.4296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510329_00000000000000000000","Deary",3414097.91084,9686.26783674,0,4.0703125,11.3203125,-3.1875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510330_00000000000000000000","Deary",3414097.91084,9686.26783674,3.3203125,3.46875,8.390625,-1.453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510331_00000000000000000000","Deary",3414097.91084,9686.26783674,0,3.65625,8.4765625,-1.171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510401_00000000000000000000","Deary",3414097.91084,9686.26783674,0,5.671875,13.2578125,-1.921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510402_00000000000000000000","Deary",3414097.91084,9686.26783674,0,6.859375,16.109375,-2.390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510403_00000000000000000000","Deary",3414097.91084,9686.26783674,0,7.28125,17.0078125,-2.453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510404_00000000000000000000","Deary",3414097.91084,9686.26783674,0,7.609375,18.109375,-2.890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510405_00000000000000000000","Deary",3414097.91084,9686.26783674,0,8.140625,17.6796875,-1.390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510406_00000000000000000000","Deary",3414097.91084,9686.26783674,0,7.3203125,17.46875,-2.828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510407_00000000000000000000","Deary",3414097.91084,9686.26783674,0,7.1171875,17.296875,-3.0703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510408_00000000000000000000","Deary",3414097.91084,9686.26783674,0,6.8671875,16.1015625,-2.359375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510409_00000000000000000000","Deary",3414097.91084,9686.26783674,0,5.7890625,12.6171875,-1.0390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510410_00000000000000000000","Deary",3414097.91084,9686.26783674,0,3.671875,12.546875,-5.21875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510411_00000000000000000000","Deary",3414097.91084,9686.26783674,0,5.046875,15.0625,-4.953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510412_00000000000000000000","Deary",3414097.91084,9686.26783674,0,8.5,20.0703125,-3.0703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510413_00000000000000000000","Deary",3414097.91084,9686.26783674,0,10.3203125,21.4296875,-0.78125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510414_00000000000000000000","Deary",3414097.91084,9686.26783674,0,7.796875,19.046875,-3.453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510415_00000000000000000000","Deary",3414097.91084,9686.26783674,0,6.421875,16.8828125,-4.0390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510416_00000000000000000000","Deary",3414097.91084,9686.26783674,0,8.046875,19.3125,-3.203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
