"date","prcp","coord","day","month","year"
1951-04-29,9.7265625,"Bovill",29,4,1951
1951-04-30,1.78125,"Bovill",30,4,1951
1951-05-01,2.75,"Bovill",1,5,1951
1951-05-02,0.75,"Bovill",2,5,1951
1951-05-03,0,"Bovill",3,5,1951
1951-05-04,0,"Bovill",4,5,1951
1951-05-05,4.2890625,"Bovill",5,5,1951
1951-05-06,0,"Bovill",6,5,1951
1951-05-07,1.9609375,"Bovill",7,5,1951
1951-05-08,1.03125,"Bovill",8,5,1951
1951-05-09,0,"Bovill",9,5,1951
1951-05-10,0,"Bovill",10,5,1951
1951-05-11,1.859375,"Bovill",11,5,1951
1951-05-12,6.1015625,"Bovill",12,5,1951
1951-05-13,4.15625,"Bovill",13,5,1951
1951-05-14,8.4375,"Bovill",14,5,1951
1951-05-15,0.5703125,"Bovill",15,5,1951
1951-05-16,0,"Bovill",16,5,1951
1951-05-17,0,"Bovill",17,5,1951
1951-05-18,0,"Bovill",18,5,1951
1951-05-19,0,"Bovill",19,5,1951
1951-05-20,0,"Bovill",20,5,1951
1951-05-21,0,"Bovill",21,5,1951
1951-05-22,0,"Bovill",22,5,1951
1951-05-23,0,"Bovill",23,5,1951
1951-05-24,1.2265625,"Bovill",24,5,1951
1951-05-25,0,"Bovill",25,5,1951
1951-05-26,0,"Bovill",26,5,1951
1951-05-27,0,"Bovill",27,5,1951
1951-05-28,0,"Bovill",28,5,1951
1951-05-29,0,"Bovill",29,5,1951
1951-05-30,0,"Bovill",30,5,1951
1951-05-31,0,"Bovill",31,5,1951
1951-06-01,0,"Bovill",1,6,1951
1951-06-02,0,"Bovill",2,6,1951
1951-06-03,0,"Bovill",3,6,1951
1951-06-04,0,"Bovill",4,6,1951
1951-06-05,12.4921875,"Bovill",5,6,1951
1951-06-06,7.6015625,"Bovill",6,6,1951
1951-06-07,8.796875,"Bovill",7,6,1951
1951-06-08,3.4609375,"Bovill",8,6,1951
1951-06-09,0,"Bovill",9,6,1951
1951-06-10,0,"Bovill",10,6,1951
1951-06-11,0,"Bovill",11,6,1951
1951-06-12,5.46875,"Bovill",12,6,1951
1951-06-13,1.7109375,"Bovill",13,6,1951
1951-06-14,0,"Bovill",14,6,1951
1951-06-15,0,"Bovill",15,6,1951
1951-06-16,0,"Bovill",16,6,1951
1951-06-17,0,"Bovill",17,6,1951
1951-06-18,0,"Bovill",18,6,1951
1951-06-19,0,"Bovill",19,6,1951
1951-06-20,0,"Bovill",20,6,1951
1951-06-21,0,"Bovill",21,6,1951
1951-06-22,0,"Bovill",22,6,1951
1951-06-23,0,"Bovill",23,6,1951
1951-06-24,5.2109375,"Bovill",24,6,1951
1951-06-25,0,"Bovill",25,6,1951
1951-06-26,0,"Bovill",26,6,1951
1951-06-27,0,"Bovill",27,6,1951
1951-06-28,0,"Bovill",28,6,1951
1951-06-29,0,"Bovill",29,6,1951
1951-06-30,0,"Bovill",30,6,1951
1951-07-01,0,"Bovill",1,7,1951
1951-07-02,0,"Bovill",2,7,1951
1951-07-03,0,"Bovill",3,7,1951
1951-07-04,15.1015625,"Bovill",4,7,1951
1951-07-05,1.8984375,"Bovill",5,7,1951
1951-07-06,2.5625,"Bovill",6,7,1951
1951-07-07,0,"Bovill",7,7,1951
1951-07-08,0,"Bovill",8,7,1951
1951-07-09,0,"Bovill",9,7,1951
1951-07-10,0,"Bovill",10,7,1951
1951-07-11,0,"Bovill",11,7,1951
1951-07-12,0,"Bovill",12,7,1951
1951-07-13,0,"Bovill",13,7,1951
1951-07-14,0,"Bovill",14,7,1951
1951-07-15,0,"Bovill",15,7,1951
1951-07-16,0,"Bovill",16,7,1951
1951-07-17,0,"Bovill",17,7,1951
1951-07-18,0,"Bovill",18,7,1951
1951-07-19,0,"Bovill",19,7,1951
1951-07-20,0,"Bovill",20,7,1951
1951-07-21,0,"Bovill",21,7,1951
1951-07-22,0,"Bovill",22,7,1951
1951-07-23,0,"Bovill",23,7,1951
1951-07-24,0,"Bovill",24,7,1951
1951-07-25,0,"Bovill",25,7,1951
1951-07-26,0,"Bovill",26,7,1951
1951-07-27,0,"Bovill",27,7,1951
1951-07-28,0,"Bovill",28,7,1951
